"Model","PART","MATERIAL","ID NUMBER","BIN NUMBER","CUT LENGTH","CRC","ADDITIONAL STEPS","STEPS","EXTRA"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.2088,2.0,6.3338,2.0,9.4588,6.0,12.5838,6.0,15.7088,2.0,18.8338,2.0,21.9588,6.0,25.0838,6.0,28.2088,2.0,31.3338,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201052.0, 43739.0, 43747.0, 'Cable - Alum - 36 B Up - Special Application Foot & Universal Top', 12.0, 'm5y3ankahL', 'Cable', 'B Up', 'Special Application', 'Universal Top', '', 2.0, 33.7, 36.0, 'PC Fluoropolymer: Black', 182536.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.2088,2.0,6.3338,2.0,9.4588,6.0,12.5838,6.0,15.7088,2.0,18.8338,2.0,21.9588,6.0,25.0838,6.0,28.2088,2.0,31.3338,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201052.0, 43739.0, 43747.0, 'Cable - Alum - 36 B Up - Special Application Foot & Universal Top', 15.0, '943qvszkdz', 'Cable', 'B Up', 'Special Application', 'Universal Top', '', 2.0, 33.7, 36.0, 'PC Fluoropolymer: Black', 182536.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.2088,2.0,6.3338,2.0,9.4588,6.0,12.5838,6.0,15.7088,2.0,18.8338,2.0,21.9588,6.0,25.0838,6.0,28.2088,2.0,31.3338,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201052.0, 43739.0, 43747.0, 'Cable - Alum - 36 B Up - Special Application Foot & Universal Top', 18.0, '6yhcg7mus4', 'Cable', 'B Up', 'Special Application', 'Universal Top', '', 2.0, 33.7, 36.0, 'PC Fluoropolymer: Black', 182536.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",33.25,1,20.0,"3.2088,2.0,6.3338,2.0,9.4588,6.0,12.5838,6.0,15.7088,2.0,18.8338,2.0,21.9588,6.0,25.0838,6.0,28.2088,2.0,31.3338,2.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201052.0, 43739.0, 43747.0, 'Cable - Alum - 36 B Up - Special Application Foot & Universal Top', 21.0, '07p6pmhhzu', 'Cable', 'B Up', 'Special Application', 'Universal Top', '', 2.0, 33.7, 36.0, 'PC Fluoropolymer: Black', 182536.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A - Surface Mount & Universal Top', 1.0, 'ysgksmo68q', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 42.0, 'PC: Black', 132104.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A - Surface Mount & Universal Top', 9.0, '5m4i6wpioi', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 42.0, 'PC: Black', 132104.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 2.0, 'nt5unkm8yt', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 5.0, '', 42.0, 'PC: Black', 150207.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 4.0, '8xiansdzrL', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 5.0, '', 42.0, 'PC: Black', 150207.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 6.0, 'we9qz172zy', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 5.0, '', 42.0, 'PC: Black', 150207.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 7.0, '9n7qsoomw7', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 5.0, '', 42.0, 'PC: Black', 150207.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 8.0, 'La9yr3i5q7', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 5.0, '', 42.0, 'PC: Black', 150207.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 C Left - Surface Mount & Universal Top', 3.0, '08iz077bty', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 1.0, '', 42.0, 'PC: Black', 132120.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",39.25,1,24.0,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[201130.0, 43739.0, 43747.0, 'Cable - Alum - 42 C Right - Surface Mount & Universal Top', 5.0, '1s83tcxx8o', 'Cable', 'C Right', 'Surface Mount', 'Universal Top', '', 1.0, '', 42.0, 'PC: Black', 132122.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[190291.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 1.0, '0w49uczo8e', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[190291.0, 43739.0, 43747.0, 'Cable - Alum - 39 A - Surface Mount & Universal Top', 5.0, 'rpg1ismota', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 2.0, '', 39.0, 'PC: Black', 132049.0]"
"DEFAULT","DEFAULT","2X2","DEFAULT","DEFAULT",36.25,1,22.0,"1.75,2,4.875,2,8,6,11.125,6,14.25,2,17.375,2,20.5,6,23.625,6,26.75,2,29.875,2,33,6,1.75,4,4.875,4,8,8,11.125,8,14.25,4,17.375,4,20.5,8,23.625,8,26.75,4,29.875,4,33,8","[190291.0, 43739.0, 43747.0, 'Cable - Alum - 39 C Right - Surface Mount & Universal Top', 2.0, 'e6uyc6de54', 'Cable', 'C Right', 'Surface Mount', 'Universal Top', '', 1.0, '', 39.0, 'PC: Black', 132067.0]"
