Model,PART,MATERIAL,ID NUMBER,BIN NUMBER,CUT LENGTH,CRC,ADDITIONAL STEPS,STEPS,EXTRA
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 2.0, 'kyk5mhzcs8', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 36.9, 36.0, 'PC: Black', 132010.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 36 B-5 - Surface Mount & Universal Top', 3.0, 'bLz7o5652i', 'Cable', 'B-5', 'Surface Mount', 'Universal Top', '', 2.0, 36.9, 36.0, 'PC: Black', 132010.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,33.25,1,20,"3.3766,1.0,6.5016,1.0,9.6266,5.0,12.7516,5.0,15.8766,1.0,19.0016,1.0,22.1266,5.0,25.2516,5.0,28.3766,1.0,31.5016,1.0,1.875,4.0,5.0,4.0,8.125,8.0,11.25,8.0,14.375,4.0,17.5,4.0,20.625,8.0,23.75,8.0,26.875,4.0,30.0,4.0","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 36 B Down - Surface Mount & Universal Top', 4.0, '1Lc4rLwh9h', 'Cable', 'B Down', 'Surface Mount', 'Universal Top', '', 1.0, 36.9, 36.0, 'PC: Black', 182645.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,39.25,1,24,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 42 A - Surface Mount & Universal Top', 5.0, 'v9urosvgta', 'Cable', 'A', 'Surface Mount', 'Universal Top', '', 1.0, '', 42.0, 'PC: Black', 132104.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,39.25,1,24,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 6.0, '9h2t5t7qkc', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 2.0, '', 42.0, 'PC: Black', 150207.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,39.25,1,24,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 42 A-2 - Surface Mount & Universal Top', 7.0, 'n4z2yss8bo', 'Cable', 'A-2', 'Surface Mount', 'Universal Top', '', 2.0, '', 42.0, 'PC: Black', 150207.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,39.25,1,24,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 42 C Left - Surface Mount & Universal Top', 8.0, 'csdwL945y5', 'Cable', 'C Left', 'Surface Mount', 'Universal Top', '', 1.0, '', 42.0, 'PC: Black', 132120.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,46.75,1,24,"1.625,2,4.75,2,7.875,6,11,6,14.125,2,17.25,2,20.375,6,23.5,6,26.625,2,29.75,2,32.875,6,36,6,1.625,4,4.75,4,7.875,8,11,8,14.125,4,17.25,4,20.375,8,23.5,8,26.625,4,29.75,4,32.875,8,36,8","[200238.0, 43740.0, 43748.0, 'Cable - Alum - 42 A - Side Mount & Universal Top', 9.0, '8270m3yo8s', 'Cable', 'A', 'Side Mount', 'Universal Top', '', 1.0, '', 42.0, 'PC: Black', 133238.0]"
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,0,,
DEFAULT,DEFAULT,2X2,DEFAULT,DEFAULT,40.75,1,20,"3.2388,1.0,6.3637999999999995,1.0,9.4888,5.0,12.6138,5.0,15.7388,1.0,18.8638,1.0,21.9888,5.0,25.1138,5.0,28.2388,1.0,31.3638,1.0,1.875,3.0,5.0,3.0,8.125,7.0,11.25,7.0,14.375,3.0,17.5,3.0,20.625,7.0,23.75,7.0,26.875,3.0,30.0,3.0","[201624.0, 43740.0, 43748.0, 'Cable - Alum - 36 B-5 RH - Side Mount & Universal Top', 2.0, '4aq9h79px3', 'Cable', 'B-5 RH', 'Side Mount', 'Universal Top', '', 1.0, 34.29, 36.0, 'PC: Black', 133126.0]"
